-4.069.853;-3.944.411;-3.759.098;-3.929.031;-4.467.422;-3.736.939;-38.989;-4.643.208;;-4.616.373;;-4.474.764;-4.519.269;;;;-3.976.662;-3.870.522;-4.196.623;-3.287.145
-4.162.449;-3.941.569;-3.728.817;-3.941.257;-4.499.108;-3.735.139;-3.963.569;-4.647.039;;-4.592.442;;-4.465.794;-4.553.432;;;;-3.945.737;-3.870.522;-4.196.132;-3.257.418
-4.253.452;-3.937.776;-37.127;-3.979.743;-453.134;-3.695.333;-4.078.732;-4.646.201;;-4.547.527;;-4.457.573;-4.613.369;;;;-3.920.381;-3.823.006;-4.210.632;-360.628
-4.396.454;-3.930.383;-3.700.701;-4.109.846;-4.566.181;-4.016.714;-4.116.195;-4.634.048;;-4.465.166;;-4.452.418;-462.591;;;;;-3.811.104;-4.213.243;-3.812.115
-445.508;-3.925.356;-364.986;-4.190.602;-4.578.879;-4.128.773;-4.189.394;;;-444.166;;;-4.655.173;;;;;-3.823.054;-4.215.267;-3.884
-4.498.968;-3.920.694;-3.713.748;-4.260.964;-4.590.059;-4.192.247;-4.217.562;;;-4.418.865;;;-4.662.018;;;;;-3.843.975;-4.221.807;-3.937.452
-4.562.835;-3.914.349;-3.807.934;-4.359.873;-4.603.861;-4.238.436;-4.237.299;;;-4.398.572;;;-4.658.788;;;;;-3.867.827;-421.345;-3.931.419
-4.585.449;-3.898.432;-3.904.347;-4.402.244;-4.604.635;-4.287.593;-4.250.533;;;-4.345.449;;;-4.656.602;;;;;-3.875.743;-4.213.634;-3.942.526
-4.604.584;-3.785.989;-3.890.485;-4.438.736;-4.603.987;-4.324.621;-4.271.622;;;-4.331.043;;;-4.655.447;;;;;;-4.209.242;-3.966.317
-4.617.403;-3.774.772;-4.155.646;-4.461.367;-4.606.089;-4.388.247;-4.281.759;;;-4.325.504;;;-4.639.695;;;;;;-4.199.318;-3.962.928
-4.635.074;-3.763.665;-4.214.286;-4.477.901;-4.602.756;-4.411.343;-4.273.207;;;;;;-4.631.478;;;;;;-4.199.318;-3.962.462
-4.639.322;-3.750.353;-4.278.674;-450.367;-4.593.289;-4.415.248;-4.271.747;;;;;;-4.623.219;;;;;;-4.208.642;-3.899.708
-4.641.326;-3.720.739;-4.317.363;-4.517.624;-4.593.289;;-4.252.565;;;;;;-4.607.427;;;;;;-4.207.419;-3.889.278
-4.636.303;-3.705.524;-4.390.986;-4.522.721;-458.023;;;;;;;;-4.595.531;;;;;;-421.104;-3.880.032
-4.633.216;-3.674.779;-4.409.377;-4.524.352;-4.572.274;;;;;;;;-455.773;;;;;;-4.213.243;-3.877.509
-4.612.927;-3.667.952;-4.431.437;-4.526.427;-4.556.579;;;;;;;;-4.540.431;;;;;;-4.205.283;-3.888.905
-4.599.713;-3.732.824;-4.451.162;-452.097;-4.550.473;;;;;;;;-4.489.365;;;;;;-420.586;-3.903.379
-4.569.128;-3.922.086;-445.664;-45.122;-4.540.122;;;;;;;;;;;;;;-4.197.938;-3.888.389
-4.553.366;-4.046.465;-4.443.275;-4.460.572;-4.525.368;;;;;;;;;;;;;;-4.189.911;-3.875.317
-4.534.159;-4.157.386;-4.430.709;-440.985;-4.516.832;;;;;;;;;;;;;;;-3.872.298
-4.520.161;-4.217.991;-4.411.868;-4.342.142;-4.514.458;;;;;;;;;;;;;;;-387.786
-449.823;-4.252.001;-4.411.868;-426.573;-4.509.078;;;;;;;;;;;;;;;-3.874.647
;-4.339.009;-4.379.909;;-4.501.186;;;;;;;;;;;;;;;-3.876.866
;-4.360.623;-437.334;;;;;;;;;;;;;;;;;-3.914.313
;-4.372.357;-4.358.768;;;;;;;;;;;;;;;;;-3.936.864
;-4.373.306;;;;;;;;;;;;;;;;;;-395.683
;-4.369.934;;;;;;;;;;;;;;;;;;-3.992.678
;-4.339.669;;;;;;;;;;;;;;;;;;
;-4.318.866;;;;;;;;;;;;;;;;;;
;-4.272.907;;;;;;;;;;;;;;;;;;
;-4.247.475;;;;;;;;;;;;;;;;;;
;-422.511;;;;;;;;;;;;;;;;;;
;-4.205.073;;;;;;;;;;;;;;;;;;
;-4.186.006;;;;;;;;;;;;;;;;;;
;-4.169.496;;;;;;;;;;;;;;;;;;
;-413.491;;;;;;;;;;;;;;;;;;
