1.326.834;1.605.213;1.583.412;1.487.618;1.419.763;1.097.176;1.369.986;;;;;;1.092.166;;;;;;141.732;0.9749736
1.311.705;1.607.413;1.551.537;145.296;1.405.842;1.083.236;1.353.482;;;;;;1.084.426;;;;;;1.400.425;0.9203103
1.299.209;1.618.798;152.273;1.438.117;1.405.842;;1.339.061;;;;;;1.078.573;;;;;;1.392.824;0.8990337
1.289.642;1.626.601;1.471.675;14.254;1.397.112;;;;;;;;1.074.037;;;;;;1.385.761;0.883223
1.283.141;1.638.164;1.448.509;1.414.043;1.394.336;;;;;;;;1.065.212;;;;;;1.373.285;0.8723491
1.279.099;1.627.207;142.643;1.398.254;1.391.342;;;;;;;;1.059.098;;;;;;1.367.835;0.8605258
1.280.823;1.644.829;1.386.522;1.395.959;1.390.865;;;;;;;;1.036.765;;;;;;1.362.882;0.8621366
128.999;1.650.635;1.369.624;1.399.967;1.390.923;;;;;;;;;;;;;;1.354.399;0.874097
1.296.588;1.623.263;1.354.941;143.697;1.392.233;;;;;;;;;;;;;;1.350.811;0.8860101
1.303.864;1.575.624;1.342.532;1.470.099;1.393.313;;;;;;;;;;;;;;;0.8986239
1.311.574;1.529.233;1.324.424;1.512.537;1.394.602;;;;;;;;;;;;;;;0.9102404
1.319.164;1.484.352;1.324.424;1.550.154;1.396.039;;;;;;;;;;;;;;;0.930274
;1.320.853;1.314.321;;1.397.586;;;;;;;;;;;;;;;0.9519741
;1.237.849;13.117;;;;;;;;;;;;;;;;;1.003.325
;1.162.865;1.310.302;;;;;;;;;;;;;;;;;1.032.521
;1.094.151;;;;;;;;;;;;;;;;;;106.461
;1.034.368;;;;;;;;;;;;;;;;;;109.744
;0.9338737;;;;;;;;;;;;;;;;;;
;0.8931956;;;;;;;;;;;;;;;;;;
;0.8283291;;;;;;;;;;;;;;;;;;
;0.8048891;;;;;;;;;;;;;;;;;;
;0.788182;;;;;;;;;;;;;;;;;;
;0.7752363;;;;;;;;;;;;;;;;;;
;0.7679111;;;;;;;;;;;;;;;;;;
;0.7655008;;;;;;;;;;;;;;;;;;
;0.7718939;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
